date,pastSimDayKwh,gapfillChartSimDayKwh,delta
2025-03-16,15.52,15.52,0
2025-03-17,15.76,15.76,0
2025-03-18,16.09,16.09,0
2025-03-19,15.76,15.76,0
2025-03-20,15.76,15.76,0
2025-03-21,15.76,15.76,0
2025-03-22,15.06,15.06,0
2025-03-23,15.38,15.38,0
2025-03-24,15.76,15.76,0
2025-03-25,16.09,16.09,0
2025-03-26,16.09,16.09,0
2025-03-27,16.09,16.09,0
2025-03-28,15.76,15.76,0
2025-03-29,15.38,15.38,0
2025-03-30,15.38,15.38,0
2025-03-31,15.76,15.76,0
2025-04-01,18.75,18.75,0
2025-04-02,19.12,19.12,0
2025-04-03,18.75,18.75,0
2025-04-04,19.32,19.32,0
2025-04-05,15.81,15.81,0
2025-04-06,15.81,15.81,0
2025-04-07,19.32,19.32,0
2025-04-08,19.32,19.32,0
2025-04-09,18.75,18.75,0
2025-04-10,18.64,18.64,0
2025-04-11,18.64,18.64,0
2025-04-12,15.34,15.34,0
2025-04-13,15.65,15.65,0
2025-04-14,19.12,19.12,0
2025-04-15,18.64,18.64,0
2025-04-16,18.75,18.75,0
2025-04-17,19.12,19.12,0
2025-04-18,19.12,19.12,0
2025-04-19,15.65,15.65,0
2025-04-20,15.65,15.65,0
2025-04-21,18.75,18.75,0
2025-04-22,18.75,18.75,0
2025-04-23,19.12,19.12,0
2025-04-24,18.75,18.75,0
2025-04-25,18.75,18.75,0
2025-04-26,15.65,15.65,0
2025-04-27,15.65,15.65,0
2025-04-28,19.12,19.12,0
2025-04-29,19.12,19.12,0
2025-04-30,18.75,18.75,0
2025-05-01,17.61,17.61,0
2025-05-02,18.08,18.08,0
2025-05-03,15.07,15.07,0
2025-05-04,15.07,15.07,0
2025-05-05,17.72,17.72,0
2025-05-06,17.72,17.72,0
2025-05-07,17.72,17.72,0
2025-05-08,17.61,17.61,0
2025-05-09,17.61,17.61,0
2025-05-10,15.37,15.37,0
2025-05-11,15.07,15.07,0
2025-05-12,17.72,17.72,0
2025-05-13,18.08,18.08,0
2025-05-14,18.08,18.08,0
2025-05-15,18.08,18.08,0
2025-05-16,18.08,18.08,0
2025-05-17,15.37,15.37,0
2025-05-18,15.37,15.37,0
2025-05-19,18.08,18.08,0
2025-05-20,18.08,18.08,0
2025-05-21,18.08,18.08,0
2025-05-22,18.08,18.08,0
2025-05-23,18.08,18.08,0
2025-05-24,15.37,15.37,0
2025-05-25,15.37,15.37,0
2025-05-26,18.08,18.08,0
2025-05-27,18.08,18.08,0
2025-05-28,18.08,18.08,0
2025-05-29,18.08,18.08,0
2025-05-30,18.08,18.08,0
2025-05-31,15.37,15.37,0
2025-06-01,56.74,56.74,0
2025-08-13,60.1,60.1,0
2025-08-14,59.07,59.07,0
2025-08-15,58.72,58.72,0
2025-08-16,47.3,47.3,0
2025-08-17,47.3,47.3,0